Unnamed: 0,acute_respiratory_symptoms_ozone,acute_respiratory_symptoms_particulate,agricultural_land,asthma_exacerbation_no2,asthma_exacerbation_so2,daytime_temp,nighttime_temp,bgrp,carbon_monoxide,daily_domestic_use,day_care_centers_25_green_space,green_space,impervious_area,impervious_0.2_flood_hazard_area,impervious_0.2_flood_hazard_percent,impervious_1.0_flood_hazard_area,impervious_1.0_flood_hazard_percent,k12_schools_25_green_space,land_0.2_flood_hazard_area,land_0.2_flood_hazard_percent,land_1.0_flood_hazard_area,land_1.0_flood_hazard_percent,nitrogen_dioxide,number_day_care_centers,number_historic_places,number_schools_k12,objectid,ozone_kg_yr,particulate_matter_pm10_kg_yr,particulate_matter_pm2.5_kg_yr,%_agriculture,%_annual_reduction_streamflow,%_carbon_ monoxide_removed_annually_treecover,%_greenspace,%_imperviousarea,%_imperviousarea_15mbuffer,%_imperviousarea_50mbuffer,%_landarea_15mbuffer,%_landarea_50mbuffer,%_nitrogendioxide_removed_annually_treecover,%_busy_roadway_bordered_<25_percent_treebuffer,%_busy_roadway_bordered_>25_percent_treebuffer,%_residential_population_not_within500m_park entrance,%_residential_population_withminimal_viewstrees,%_residential_population_with_viewwater,%_residential_population_within300m_busyroadway,%_residential_population_within500m_parkentrance,%_ozone_removed_annually_treecover,%_particulatematter_pm10_removed_annually_tree cover,%_particulatematter_pm2.5_removed_annually_tree cover,%_population_otherthan_White_non-Hispanic,%_age_over_70,%_age_under_1,%_age_under_13,%_below_twice_poverty_level,%_so2_removed_yearly_by_treecover,%_treecover,%_treecover_15mbuffer,%_treecover_50mbuffer,%_vegetated cover_15mbuffer,%_vegetated_cover_15mbuffer,%_wetlands,%_pop_in_very_high_flood_hazard_area,total_pop_in_very_high_flood_hazard_area,%_pop_in_high_flood_hazard_area,total_pop_in_high_flood_hazard_area,nonwhite_population,total_pop_over_age_70,total_pop_under_age_1,total_pop_under_age_13,total_pop_below_twice_poverty_level,reduction_annual_runoff_m3,reduction_mean_biochemical_oxygen_demand_kgyr,reduction_mean_chemical_oxygen_demand_kgyr,reduction_mean_copper_kgyr,reduction_mean_nitrates_nitrites_kgyr,reduction_mean_soluble_phosphorus_kgyr,reduction_mean_load_of_total_kjeldahl_nitrogen_kgyr,reduction_mean_load_of_total_phosphorus_kgyr,reduction_mean_load_of_total_suspended_solids_kgyr,reduction_median_biochemical_oxygen_demand_kgyr,reduction_median_chemical_oxygen_demand_kgyr,reduction_median_load_copper_kgyr,reduction_median_load_of_nitrites_and_nitrates_kgyr,reduction_median_load_of_soluble_phosphorus_kgyr,reduction_median_load_of_total_kjeldahl_nitrogen_kgyr,reduction_median_load_of_total_phosphorus_kgyr,reduction_median_load_of_total_suspended_solids_kgyr,residential_population_not_within_500m_of_park_entrance,residential_population_with_minimal_tree_views,residential_population_with_views_of_water,residential_population_within_300m_of_busy_road,residential_population_within_300m_of_busy_road_with_less_than_ 25percent_tree_buffer,residential_population_within_300m_of_busy_road_with_greater_than_ 25percent_tree_buffer,residential_population_within_500m_of_park_entrance,school_days_not_lost_to_illness_due_to_ozone_removed_in_days_per_year,so2_kgyr,total_carbon_sequestered_kgyr,total_carbon_sequestered_mtyr,total_carbon_stored_in_kg,total_carbon_stored_in_mt,total_land_area_in_15m_buffer_m2,total_land_area_in_15m_buffer_m2.1,total_population,tree_cover,value_asthma_exacerbation_no2,value_asthma_exacerbation_so2,value_carbon_sequestered,value_carbon_stored,value_of_damages_co,value_of_damages_particulate_matter,value_hospital_admission_no2,value_hospital_admissions_avoided_so2_removed,value_mortality_avoided_ozone,value_mortality_avoided_particulate_matter,value_school_days_not_lost_illness_ozone,orig_fid,label,lat,long,elevation
10,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6720052,-90.3111259,157
11,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6721333,-90.3243113,159
12,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6720457,-90.3112728,157
13,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6720453,-90.3114196,157
14,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6720449,-90.3115665,157
15,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6720855,-90.3117134,157
16,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6720852,-90.3118236,157
17,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6723336,-90.3107954,158
18,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6723332,-90.3109423,157
19,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6723737,-90.3111259,157
20,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6723993,-90.3113416,157
21,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6724136,-90.3115298,157
22,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6724539,-90.3117502,157
23,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6724535,-90.3119338,157
24,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6728727,-90.3118559,157
25,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6728627,-90.3120072,157
26,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6729024,-90.3124846,157
27,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6733961,-90.3411026,167
28,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6734765,-90.3416171,167
29,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6735583,-90.3416538,167
30,0.644350887,0.45728943,0,0.926721245,0.082511497,0.785490215,0.427418917,291892141002,13.53826646,94.68499756,-99999,232,199,29,12.18000031,0,0,-99999,238,0.079999998,101,0.039999999,101.7040328,0,0,0,39202,449.6301479,98.01381177,38.58510228,0,3.991528773,0.002077141,53.86000061,46.13999939,77.86000061,65.37999725,0.200000003,1.129999995,0.208916622,92.22000122,7.78000021,0.460000008,0,0,76.41999817,99.54000092,0.298327745,0.539915197,0.141959335,97.70290965,7.503829956,1.378250003,23.43029976,59.0809628,0.178755157,35.58000183,11.94999981,30.06999969,22.13999939,22.13999939,0,0,0,0,0,638,49,9,153,270,3018.213268,42.55680708,159.3616606,0.040745879,1.98598433,0.389349512,5.221508954,0.950737179,236.6279202,34.70945258,134.9141331,0.033502167,1.608707672,0.310875967,4.436773504,0.781717236,164.4926231,3,0,0,499,454,45,650,0.432308882,41.53319576,28497.98,28.49798,771653.05,771.65305,569,569,653,153,77.54497852,6.514585408,2237.09143,60574.76443,20.43910849,695.5870222,54.79491967,16.47725134,3459.388488,12239.85057,42.44848934,39142,1,38.6736811,-90.3416538,167
